Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Vegetable,1168278.75,277497.31,7.22,0.28,2.59,15.41,26.55,2.89,2.02,349,29.80,27.79,0.00,42.41,40.68,0.00,0.00,254532.99,53758.62,2.89,2.02,349,29.80,27.79,0.00,42.41,40.68,0.00,0.00,254532.99,53758.62,China,2000
Wood,812979.87,1963521.18,5.02,1.96,1.30,9.83,11.41,1.31,2.18,330,53.03,44.55,0.00,2.42,18.00,0.00,0.00,1873644.89,337462.99,1.31,2.18,330,53.03,44.55,0.00,2.42,18.00,0.00,0.00,1873644.89,337462.99,China,2000
All Products,19181936.06,102267288.93,100.00,100.00,1.00,4.02,8.25,4.14,4.16,8324,59.38,30.31,2.03,8.28,350.00,0.00,1196878.29,63610795.60,44540010.21,4.14,4.16,8324,59.38,30.31,2.03,8.28,350.00,0.00,1196878.29,63610795.60,44540010.21,China,2001
Capital goods,10734013.31,26274130.72,55.96,25.69,1.27,8.34,12.80,1.43,0.73,1498,44.19,54.94,0.27,0.60,25.00,0.00,23081.39,9371008.65,17956317.73,1.43,0.73,1498,44.19,54.94,0.27,0.60,25.00,0.00,23081.39,9371008.65,17956317.73,China,2001
Consumer goods,1549218.66,66432294.34,8.08,64.96,0.76,3.30,9.75,5.23,5.48,3206,64.00,22.43,3.74,9.83,248.87,0.00,951155.69,49712355.20,21977435.13,5.23,5.48,3206,64.00,22.43,3.74,9.83,248.87,0.00,951155.69,49712355.20,21977435.13,China,2001
Intermediate goods,3283756.89,7041735.76,17.12,6.89,0.68,1.05,0.31,5.00,4.72,3098,68.24,22.95,1.23,7.59,306.94,0.00,74378.64,3983373.03,3720477.09,5.00,4.72,3098,68.24,22.95,1.23,7.59,306.94,0.00,74378.64,3983373.03,3720477.09,China,2001
Raw materials,2986163.19,1302278.31,15.57,1.27,1.08,-0.81,5.18,2.19,0.85,522,22.03,51.72,1.34,24.90,350.00,0.00,148262.57,544058.71,885780.25,2.19,0.85,522,22.03,51.72,1.34,24.90,350.00,0.00,148262.57,544058.71,885780.25,China,2001
Animal,248197.69,752543.93,1.29,0.74,2.42,1.70,3.21,1.38,0.24,156,37.18,48.08,0.64,14.10,66.31,0.00,3778.00,99387.10,698131.98,1.38,0.24,156,37.18,48.08,0.64,14.10,66.31,0.00,3778.00,99387.10,698131.98,China,2001
Chemicals,1086830.93,1962897.27,5.67,1.92,1.17,2.70,-2.74,3.26,2.65,1382,62.88,28.87,0.00,8.25,11.46,0.00,0.00,1346126.04,787429.24,3.26,2.65,1382,62.88,28.87,0.00,8.25,11.46,0.00,0.00,1346126.04,787429.24,China,2001
Food Products,223491.57,461755.60,1.17,0.45,1.39,2.00,6.62,9.76,8.50,545,44.59,18.72,3.12,33.58,350.00,0.00,28156.96,417758.43,97616.93,9.76,8.50,545,44.59,18.72,3.12,33.58,350.00,0.00,28156.96,417758.43,97616.93,China,2001
