Product Group,Export (US$ Thousand),Import (US$ Thousand),Export Product Share (%),Import Product Share (%),Revealed comparative advantage,World Growth (%),Country Growth (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports (US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),Country,Year
Plastic or Rubber,5596987.00,19446245.80,4.84,4.04,1.13,-3.13,-1.92,3.52,3.99,371,77.09,22.91,0.00,0.00,14.00,0.00,0.00,19150454.47,231472.11,3.52,3.99,371,77.09,22.91,0.00,0.00,14.00,0.00,0.00,19150454.47,231472.11,China,2016
Stone and Glass,1288496.86,10435968.84,1.11,2.17,0.53,-8.36,-25.41,3.35,5.27,390,63.59,34.62,0.00,1.79,38.00,0.00,0.00,9070814.11,1365154.72,3.35,5.27,390,63.59,34.62,0.00,1.79,38.00,0.00,0.00,9070814.11,1365154.72,China,2016
Textiles and Clothing,1382714.90,41243182.43,1.20,8.57,0.53,-6.38,-19.67,8.92,11.01,1543,80.69,12.90,1.43,4.99,32.00,0.00,56088.24,40610537.86,570848.34,8.92,11.01,1543,80.69,12.90,1.43,4.99,32.00,0.00,56088.24,40610537.86,570848.34,China,2016
Transportation,25736243.63,15657350.63,22.26,3.25,3.30,-0.31,-3.67,2.72,1.67,224,50.00,50.00,0.00,0.00,25.00,0.00,0.00,13526318.88,2131031.75,2.72,1.67,224,50.00,50.00,0.00,0.00,25.00,0.00,0.00,13526318.88,2131031.75,China,2016
Vegetable,16862682.12,1730754.56,14.59,0.36,3.18,-4.87,0.94,2.69,2.12,443,31.15,27.09,1.35,40.41,29.80,0.00,205.75,1409743.44,306365.74,2.69,2.12,443,31.15,27.09,1.35,40.41,29.80,0.00,205.75,1409743.44,306365.74,China,2016
Wood,6789843.31,10313074.48,5.87,2.14,2.04,-0.01,0.36,0.73,1.48,483,20.08,78.88,0.21,0.83,18.00,0.00,574906.84,4488491.93,5723589.03,0.73,1.48,483,20.08,78.88,0.21,0.83,18.00,0.00,574906.84,4488491.93,5723589.03,China,2016
All Products,129797515.35,525764714.47,100.00,100.00,1.00,7.76,6.91,4.07,2.65,9374,54.44,37.23,1.66,6.67,3000.00,0.00,1570655.79,243078969.88,264902694.34,4.07,2.65,9374,54.44,37.23,1.66,6.67,3000.00,0.00,1570655.79,243078969.88,264902694.34,China,2017
Capital goods,34642507.10,251887417.76,26.69,47.91,0.93,5.26,4.38,1.20,0.41,1521,41.49,57.59,0.26,0.66,25.00,0.00,34276.29,66115696.39,177597986.51,1.20,0.41,1521,41.49,57.59,0.26,0.66,25.00,0.00,34276.29,66115696.39,177597986.51,China,2017
Consumer goods,23974500.15,226469653.36,18.47,43.07,1.49,8.89,6.41,6.86,5.25,3353,61.17,26.63,3.37,8.83,3000.00,0.00,1328851.27,151160000.00,66308721.71,6.86,5.25,3353,61.17,26.63,3.37,8.83,3000.00,0.00,1328851.27,151160000.00,66308721.71,China,2017
Intermediate goods,22451130.37,35792219.31,17.30,6.81,0.99,5.22,10.86,3.84,2.46,3550,59.27,35.89,0.70,4.14,175.64,0.00,171858.25,19528866.26,13513829.58,3.84,2.46,3550,59.27,35.89,0.70,4.14,175.64,0.00,171858.25,19528866.26,13513829.58,China,2017
Raw materials,30236943.42,4479284.89,23.30,0.85,0.88,14.39,7.80,1.53,1.28,495,21.21,51.72,0.40,26.67,350.00,0.00,31.96,1792141.97,886845.11,1.53,1.28,495,21.21,51.72,0.40,26.67,350.00,0.00,31.96,1792141.97,886845.11,China,2017
Animal,2411134.73,2483972.45,1.86,0.47,1.56,2.53,3.29,0.84,0.17,164,17.07,73.78,0.00,9.15,36.64,0.00,0.00,274126.47,2082229.05,0.84,0.17,164,17.07,73.78,0.00,9.15,36.64,0.00,0.00,274126.47,2082229.05,China,2017
Chemicals,11129861.44,15713760.82,8.57,2.99,1.37,9.88,6.81,2.62,2.39,1519,69.26,29.89,0.00,0.86,6.06,0.00,0.00,9549138.30,5318490.68,2.62,2.39,1519,69.26,29.89,0.00,0.86,6.06,0.00,0.00,9549138.30,5318490.68,China,2017
Food Products,1475453.05,3264094.62,1.14,0.62,0.96,8.57,-15.78,26.97,33.26,613,44.21,21.04,4.24,30.51,3000.00,0.00,231577.22,2487297.16,665014.13,26.97,33.26,613,44.21,21.04,4.24,30.51,3000.00,0.00,231577.22,2487297.16,665014.13,China,2017
Footwear,121440.23,18765970.55,0.09,3.57,0.35,8.65,-3.73,7.41,12.72,197,69.04,17.77,1.52,11.68,48.33,0.00,22447.41,17218834.56,1551460.42,7.41,12.72,197,69.04,17.77,1.52,11.68,48.33,0.00,22447.41,17218834.56,1551460.42,China,2017
Fuels,8497555.70,674670.46,6.55,0.13,0.35,18.91,74.13,0.19,0.04,31,0.00,83.87,6.45,9.68,19.31,0.00,31.96,513271.49,167281.86,0.19,0.04,31,0.00,83.87,6.45,9.68,19.31,0.00,31.96,513271.49,167281.86,China,2017
Hides and Skins,1268120.04,7819571.59,0.98,1.49,1.58,1.80,-1.08,3.91,10.01,198,84.34,15.15,0.00,0.51,20.00,0.00,0.00,7794278.22,30536.80,3.91,10.01,198,84.34,15.15,0.00,0.51,20.00,0.00,0.00,7794278.22,30536.80,China,2017
Mach and Elec,22964757.84,261820918.28,17.69,49.80,0.62,5.98,5.95,1.21,0.53,1333,43.59,56.34,0.00,0.08,15.00,0.00,0.00,72927599.03,183079103.51,1.21,0.53,1333,43.59,56.34,0.00,0.08,15.00,0.00,0.00,72927599.03,183079103.51,China,2017
Metals,6033171.73,27048003.44,4.65,5.14,0.68,10.01,9.10,1.60,2.35,916,42.47,52.51,2.62,2.40,15.00,0.00,743018.51,19567582.58,7487127.04,1.60,2.35,916,42.47,52.51,2.62,2.40,15.00,0.00,743018.51,19567582.58,7487127.04,China,2017
Minerals,1432890.61,562953.38,1.10,0.11,0.16,15.75,12.25,0.31,0.11,97,6.19,87.63,0.00,6.19,18.64,0.00,0.00,127986.34,410321.82,0.31,0.11,97,6.19,87.63,0.00,6.19,18.64,0.00,0.00,127986.34,410321.82,China,2017
Miscellaneous,12682861.26,85417003.89,9.77,16.25,1.37,2.51,3.21,3.20,1.18,827,37.12,44.14,9.79,8.95,175.64,0.00,558846.37,25569985.11,53248100.07,3.20,1.18,827,37.12,44.14,9.79,8.95,175.64,0.00,558846.37,25569985.11,53248100.07,China,2017
Plastic or Rubber,6410593.82,21354816.78,4.94,4.06,1.11,8.31,6.73,3.28,3.75,364,77.75,22.25,0.00,0.00,14.00,0.00,0.00,20040609.15,181817.64,3.28,3.75,364,77.75,22.25,0.00,0.00,14.00,0.00,0.00,20040609.15,181817.64,China,2017
Stone and Glass,1989775.97,10898037.12,1.53,2.07,1.04,-7.83,28.12,3.06,4.63,379,63.59,34.56,0.00,1.85,38.00,0.00,0.00,8668391.10,1699974.41,3.06,4.63,379,63.59,34.56,0.00,1.85,38.00,0.00,0.00,8668391.10,1699974.41,China,2017
Textiles and Clothing,1809243.26,40849010.19,1.39,7.77,0.71,4.70,20.00,8.59,10.61,1610,81.37,12.42,1.12,5.09,32.00,0.00,14049.19,40169356.87,567450.37,8.59,10.61,1610,81.37,12.42,1.12,5.09,32.00,0.00,14049.19,40169356.87,567450.37,China,2017
Transportation,29192878.18,16808524.64,22.49,3.20,3.25,4.98,3.38,2.21,1.45,219,50.23,49.77,0.00,0.00,25.00,0.00,0.00,14452592.87,2166080.73,2.21,1.45,219,50.23,49.77,0.00,0.00,25.00,0.00,0.00,14452592.87,2166080.73,China,2017
Vegetable,14884010.52,1643410.98,11.47,0.31,2.88,6.82,0.90,2.55,2.18,452,30.97,27.21,0.44,41.37,29.00,0.00,685.13,1388577.03,265948.20,2.55,2.18,452,30.97,27.21,0.44,41.37,29.00,0.00,685.13,1388577.03,265948.20,China,2017
Wood,7493766.96,10639995.30,5.77,2.02,2.00,9.80,7.83,0.62,0.75,455,18.02,81.10,0.00,0.88,18.00,0.00,0.00,2329343.62,5981757.61,0.62,0.75,455,18.02,81.10,0.00,0.88,18.00,0.00,0.00,2329343.62,5981757.61,China,2017
All Products,120147865.72,563203119.54,100.00,100.00,1.00,7.57,0.51,4.23,2.77,9449,54.22,37.40,1.64,6.74,3000.00,0.00,1790572.04,267012828.98,275880105.15,4.23,2.77,9449,54.22,37.40,1.64,6.74,3000.00,0.00,1790572.04,267012828.98,275880105.15,China,2018
Capital goods,37607898.83,266561599.15,31.30,47.33,1.06,6.92,6.41,1.32,0.48,1519,41.34,57.74,0.26,0.66,25.00,0.00,35945.61,74119644.30,182863826.58,1.32,0.48,1519,41.34,57.74,0.26,0.66,25.00,0.00,35945.61,74119644.30,182863826.58,China,2018
Consumer goods,20624530.56,243324826.86,17.17,43.20,1.44,7.90,-0.95,7.10,5.40,3379,60.91,26.69,3.37,9.03,3000.00,0.00,1513563.91,163436687.97,69518339.30,7.10,5.40,3379,60.91,26.69,3.37,9.03,3000.00,0.00,1513563.91,163436687.97,69518339.30,China,2018
Intermediate goods,23269307.52,40923296.13,19.37,7.27,1.03,6.55,1.88,4.03,2.66,3573,59.14,36.19,0.70,3.97,132.52,0.00,193357.09,22120771.68,14915238.41,4.03,2.66,3573,59.14,36.19,0.70,3.97,132.52,0.00,193357.09,22120771.68,14915238.41,China,2018
Raw materials,18517299.18,4959611.36,15.41,0.88,0.67,9.78,-10.45,1.53,1.34,532,21.62,51.32,0.00,27.07,350.00,0.00,0.00,1948249.09,999616.36,1.53,1.34,532,21.62,51.32,0.00,27.07,350.00,0.00,0.00,1948249.09,999616.36,China,2018
Animal,2041927.04,2589619.37,1.70,0.46,1.04,11.14,-15.32,0.85,0.18,177,16.38,66.67,2.26,14.69,106.76,0.00,3.52,322455.72,2120472.71,0.85,0.18,177,16.38,66.67,2.26,14.69,106.76,0.00,3.52,322455.72,2120472.71,China,2018
Chemicals,12260902.89,18970569.99,10.20,3.37,1.54,8.40,7.37,2.87,2.77,1535,69.06,30.10,0.00,0.85,6.50,0.00,0.00,11754996.69,5843936.62,2.87,2.77,1535,69.06,30.10,0.00,0.85,6.50,0.00,0.00,11754996.69,5843936.62,China,2018
Food Products,1599625.23,3704377.85,1.33,0.66,1.23,9.12,15.13,27.15,31.16,606,44.22,21.95,4.13,29.70,3000.00,0.00,321466.86,2832963.40,755835.30,27.15,31.16,606,44.22,21.95,4.13,29.70,3000.00,0.00,321466.86,2832963.40,755835.30,China,2018
Footwear,166715.60,18900913.91,0.14,3.36,0.48,12.63,23.07,7.62,12.93,197,69.04,17.77,1.52,11.68,49.14,0.00,21057.20,17277575.90,1623338.02,7.62,12.93,197,69.04,17.77,1.52,11.68,49.14,0.00,21057.20,17277575.90,1623338.02,China,2018
Fuels,8450679.01,766465.02,7.03,0.14,0.41,17.94,20.30,0.19,0.01,29,0.00,89.66,0.00,10.34,18.93,0.00,0.00,525158.44,241306.58,0.19,0.01,29,0.00,89.66,0.00,10.34,18.93,0.00,0.00,525158.44,241306.58,China,2018
Hides and Skins,910148.10,7913018.77,0.76,1.41,1.46,-2.07,-11.86,4.13,10.63,211,83.41,16.11,0.00,0.47,20.00,0.00,0.00,7884468.48,28550.29,4.13,10.63,211,83.41,16.11,0.00,0.47,20.00,0.00,0.00,7884468.48,28550.29,China,2018
Mach and Elec,24038140.97,275046547.67,20.01,48.84,0.67,7.11,4.65,1.38,0.62,1337,43.46,56.47,0.00,0.07,15.00,0.00,0.00,81503347.94,187207096.25,1.38,0.62,1337,43.46,56.47,0.00,0.07,15.00,0.00,0.00,81503347.94,187207096.25,China,2018
Metals,4820483.80,29896194.21,4.01,5.31,0.73,5.58,2.12,1.73,2.57,940,41.60,53.51,2.45,2.45,15.00,0.00,932319.82,21593247.05,8302947.16,1.73,2.57,940,41.60,53.51,2.45,2.45,15.00,0.00,932319.82,21593247.05,8302947.16,China,2018
Minerals,1090122.65,678217.45,0.91,0.12,0.14,4.08,-11.14,0.31,0.08,93,6.45,87.10,0.00,6.45,31.88,0.00,0.00,102242.07,544504.88,0.31,0.08,93,6.45,87.10,0.00,6.45,31.88,0.00,0.00,102242.07,544504.88,China,2018
Miscellaneous,14619921.02,91648624.33,12.17,16.27,1.69,3.76,7.82,3.24,1.31,827,37.00,44.26,9.79,8.95,132.52,0.00,498215.51,27194502.61,56958657.22,3.24,1.31,827,37.00,44.26,9.79,8.95,132.52,0.00,498215.51,27194502.61,56958657.22,China,2018
Plastic or Rubber,6462543.73,25057709.34,5.38,4.45,1.23,2.32,0.64,3.56,4.05,363,77.69,22.31,0.00,0.00,14.00,0.00,0.00,23502230.36,199465.93,3.56,4.05,363,77.69,22.31,0.00,0.00,14.00,0.00,0.00,23502230.36,199465.93,China,2018
Stone and Glass,2489186.20,12134697.60,2.07,2.15,0.90,8.73,-5.56,3.27,4.91,381,63.52,34.65,0.00,1.84,38.00,0.00,0.00,9559810.37,2025700.40,3.27,4.91,381,63.52,34.65,0.00,1.84,38.00,0.00,0.00,9559810.37,2025700.40,China,2018
Textiles and Clothing,1714732.04,42479673.90,1.43,7.54,0.76,4.77,1.30,8.91,10.92,1626,80.87,12.79,1.05,5.29,32.00,0.00,17173.37,41639683.35,677438.89,8.91,10.92,1626,80.87,12.79,1.05,5.29,32.00,0.00,17173.37,41639683.35,677438.89,China,2018
Transportation,27663291.74,20271284.24,23.02,3.60,3.47,3.50,-0.08,2.28,1.68,214,50.00,50.00,0.00,0.00,25.00,0.00,0.00,17052423.53,2577598.66,2.28,1.68,214,50.00,50.00,0.00,0.00,25.00,0.00,0.00,17052423.53,2577598.66,China,2018
Vegetable,4996324.20,1745615.77,4.16,0.31,1.82,0.94,-25.03,2.56,2.25,459,30.94,27.23,0.44,41.39,29.80,0.00,335.75,1493240.72,266183.01,2.56,2.25,459,30.94,27.23,0.44,41.39,29.80,0.00,335.75,1493240.72,266183.01,China,2018
Wood,6823121.50,11399590.10,5.68,2.02,1.89,5.26,-4.20,0.67,0.90,454,18.06,81.06,0.00,0.88,18.00,0.00,0.00,2774482.36,6507073.23,0.67,0.90,454,18.06,81.06,0.00,0.88,18.00,0.00,0.00,2774482.36,6507073.23,China,2018
All Products,106626645.08,472464913.74,100.00,100.00,1.00,-1.28,-10.92,3.60,2.79,9363,54.37,37.43,1.38,6.81,398.30,0.00,2948185.59,230650895.19,221077031.05,3.60,2.79,9363,54.37,37.43,1.38,6.81,398.30,0.00,2948185.59,230650895.19,221077031.05,China,2019
Capital goods,37001937.85,216705580.46,34.70,45.87,1.16,-3.26,-8.44,1.30,0.45,1513,41.24,57.83,0.59,0.33,25.00,0.00,34165.04,61101191.02,145215853.43,1.30,0.45,1513,41.24,57.83,0.59,0.33,25.00,0.00,34165.04,61101191.02,145215853.43,China,2019
Consumer goods,19480407.28,211736915.16,18.27,44.82,1.47,1.95,-7.03,4.96,5.19,3349,61.21,26.90,2.33,9.56,350.00,0.00,1589893.72,146407424.24,58046988.90,4.96,5.19,3349,61.21,26.90,2.33,9.56,350.00,0.00,1589893.72,146407424.24,58046988.90,China,2019
Intermediate goods,19988205.19,31568273.96,18.75,6.68,1.01,-4.76,-14.81,4.00,2.83,3539,59.00,36.17,0.82,4.01,398.30,0.00,337016.84,16719171.91,11794000.56,4.00,2.83,3539,59.00,36.17,0.82,4.01,398.30,0.00,337016.84,16719171.91,11794000.56,China,2019
Raw materials,18539661.18,3861917.31,17.39,0.82,0.53,2.76,-17.81,1.82,1.44,519,21.77,51.83,1.16,25.24,350.00,0.00,59.06,1580374.54,701077.95,1.82,1.44,519,21.77,51.83,1.16,25.24,350.00,0.00,59.06,1580374.54,701077.95,China,2019
Animal,2526257.07,1867857.20,2.37,0.40,0.85,20.17,-1.59,1.04,0.14,153,19.61,73.20,0.65,6.54,84.07,0.00,5535.30,203775.48,1563717.35,1.04,0.14,153,19.61,73.20,0.65,6.54,84.07,0.00,5535.30,203775.48,1563717.35,China,2019
Chemicals,13088114.80,15286738.18,12.27,3.24,1.75,-0.15,-3.85,2.89,2.76,1516,69.26,29.88,0.00,0.86,6.50,0.00,0.00,9388004.79,4753315.02,2.89,2.76,1516,69.26,29.88,0.00,0.86,6.50,0.00,0.00,9388004.79,4753315.02,China,2019
Food Products,1183717.10,2384565.89,1.11,0.50,1.16,2.05,-10.53,7.31,6.23,607,43.49,22.90,1.48,32.13,350.00,0.00,253184.32,1930440.02,400476.45,7.31,6.23,607,43.49,22.90,1.48,32.13,350.00,0.00,253184.32,1930440.02,400476.45,China,2019
Footwear,283665.45,18249839.20,0.27,3.86,0.72,10.20,22.19,7.62,12.88,197,69.04,17.77,3.05,10.15,49.23,0.00,1076328.86,16493271.60,1756567.60,7.62,12.88,197,69.04,17.77,3.05,10.15,49.23,0.00,1076328.86,16493271.60,1756567.60,China,2019
Fuels,3765817.36,298981.00,3.53,0.06,0.20,0.13,-37.48,0.16,0.01,32,0.00,90.63,0.00,9.38,18.53,0.00,0.00,165041.64,133939.36,0.16,0.01,32,0.00,90.63,0.00,9.38,18.53,0.00,0.00,165041.64,133939.36,China,2019
Hides and Skins,609925.24,5337046.40,0.57,1.13,1.29,-2.58,-17.42,4.16,10.71,204,83.82,15.69,0.00,0.49,20.00,0.00,0.00,5326205.56,10840.84,4.16,10.71,204,83.82,15.69,0.00,0.49,20.00,0.00,0.00,5326205.56,10840.84,China,2019
Mach and Elec,24161491.63,222987746.97,22.66,47.20,0.88,-2.50,0.45,1.36,0.64,1329,43.49,56.43,0.00,0.08,15.00,0.00,0.00,69339498.69,146549024.04,1.36,0.64,1329,43.49,56.43,0.00,0.08,15.00,0.00,0.00,69339498.69,146549024.04,China,2019
Metals,3029391.28,25711061.09,2.84,5.44,0.75,-4.86,-13.27,1.75,2.62,928,42.03,52.80,3.34,1.83,15.00,0.00,1160803.03,19051397.67,6659663.43,1.75,2.62,928,42.03,52.80,3.34,1.83,15.00,0.00,1160803.03,19051397.67,6659663.43,China,2019
Minerals,441893.80,533481.72,0.41,0.11,0.05,9.68,-39.08,0.30,0.09,87,6.90,89.66,0.00,3.45,33.84,0.00,0.00,68826.03,430528.04,0.30,0.09,87,6.90,89.66,0.00,3.45,33.84,0.00,0.00,68826.03,430528.04,China,2019
Miscellaneous,14603779.80,81651949.34,13.70,17.28,1.97,-0.80,-3.41,3.45,1.49,823,37.30,44.11,6.68,11.91,398.30,0.00,436950.47,23662348.21,49112137.54,3.45,1.49,823,37.30,44.11,6.68,11.91,398.30,0.00,436950.47,23662348.21,49112137.54,China,2019
Plastic or Rubber,5540446.31,22263268.33,5.20,4.71,1.36,-2.68,-7.55,3.59,4.14,362,78.18,21.82,0.00,0.00,14.00,0.00,0.00,21199034.57,121341.32,3.59,4.14,362,78.18,21.82,0.00,0.00,14.00,0.00,0.00,21199034.57,121341.32,China,2019
Stone and Glass,1958445.09,9642998.15,1.84,2.04,0.50,-10.57,-39.65,3.23,5.51,380,63.16,35.00,0.00,1.84,38.00,0.00,0.00,8350242.52,979412.50,3.23,5.51,380,63.16,35.00,0.00,1.84,38.00,0.00,0.00,8350242.52,979412.50,China,2019
Textiles and Clothing,1344187.59,39069923.58,1.26,8.27,0.71,-2.91,-14.86,8.86,10.94,1623,80.53,12.94,1.29,5.24,32.00,0.00,15324.55,38442289.97,494988.42,8.86,10.94,1623,80.53,12.94,1.29,5.24,32.00,0.00,15324.55,38442289.97,494988.42,China,2019
Transportation,19648398.14,16319791.79,18.43,3.45,3.08,-7.94,-21.77,2.22,1.61,216,49.54,50.46,0.00,0.00,25.00,0.00,0.00,13777319.78,2047899.02,2.22,1.61,216,49.54,50.46,0.00,0.00,25.00,0.00,0.00,13777319.78,2047899.02,China,2019
Vegetable,9725016.15,1440900.04,9.12,0.30,2.01,0.08,-5.13,2.70,2.15,450,31.33,27.11,1.33,40.22,29.80,0.00,59.06,1246602.99,202562.34,2.70,2.15,450,31.33,27.11,1.33,40.22,29.80,0.00,59.06,1246602.99,202562.34,China,2019
Wood,4716098.27,9418764.85,4.42,1.99,1.78,-7.76,-19.30,0.64,0.75,456,17.76,81.36,0.00,0.88,18.00,0.00,0.00,2006595.68,5860617.77,0.64,0.75,456,17.76,81.36,0.00,0.88,18.00,0.00,0.00,2006595.68,5860617.77,China,2019
All Products,124648507.63,457164215.51,100.00,100.00,1.00,-0.23,4.95,3.54,2.44,9305,53.39,38.40,2.10,6.11,350.00,0.00,2698893.29,202226446.21,232091183.84,3.54,2.44,9305,53.39,38.40,2.10,6.11,350.00,0.00,2698893.29,202226446.21,232091183.84,China,2020
Capital goods,40443094.90,212329522.28,32.45,46.44,0.93,2.78,-3.28,1.25,0.37,1499,35.96,63.18,0.60,0.27,25.00,0.00,33470.82,38065656.93,163606124.89,1.25,0.37,1499,35.96,63.18,0.60,0.27,25.00,0.00,33470.82,38065656.93,163606124.89,China,2020
Consumer goods,21244970.14,202393688.82,17.04,44.27,1.50,-1.18,5.16,4.81,4.56,3338,60.99,27.23,3.89,7.88,131.80,0.00,1622998.44,143099992.27,51222220.99,4.81,4.56,3338,60.99,27.23,3.89,7.88,131.80,0.00,1622998.44,143099992.27,51222220.99,China,2020
Intermediate goods,22600731.28,29486204.38,18.13,6.45,0.98,-1.21,2.32,3.96,3.03,3515,58.78,36.42,0.97,3.84,162.84,0.00,311670.31,15326049.37,10138364.60,3.96,3.03,3515,58.78,36.42,0.97,3.84,162.84,0.00,311670.31,15326049.37,10138364.60,China,2020
Raw materials,34748492.59,3150231.81,27.88,0.69,0.86,-3.09,30.27,1.84,1.58,508,22.44,50.20,1.77,25.59,350.00,0.00,686.02,1310179.40,414789.40,1.84,1.58,508,22.44,50.20,1.77,25.59,350.00,0.00,686.02,1310179.40,414789.40,China,2020
Animal,4453112.88,1597544.32,3.57,0.35,1.34,11.20,46.36,1.01,0.13,151,19.21,72.85,0.66,7.28,81.53,0.00,6437.24,142136.98,1385167.86,1.01,0.13,151,19.21,72.85,0.66,7.28,81.53,0.00,6437.24,142136.98,1385167.86,China,2020
Chemicals,14050299.96,16929002.21,11.27,3.70,1.83,-1.51,6.06,2.88,2.61,1499,68.71,30.42,0.07,0.80,6.50,0.00,67126.82,9133094.98,5579475.00,2.88,2.61,1499,68.71,30.42,0.07,0.80,6.50,0.00,67126.82,9133094.98,5579475.00,China,2020
Food Products,1291470.72,2494498.23,1.04,0.55,1.13,1.37,5.03,6.92,6.48,589,44.99,22.07,3.06,29.88,350.00,0.00,359954.85,1989031.03,459931.38,6.92,6.48,589,44.99,22.07,3.06,29.88,350.00,0.00,359954.85,1989031.03,459931.38,China,2020
Footwear,189266.60,12547617.63,0.15,2.74,0.37,3.11,-22.25,7.63,12.68,197,69.04,17.77,3.05,10.15,50.26,0.00,783212.36,11171372.79,1376244.84,7.63,12.68,197,69.04,17.77,3.05,10.15,50.26,0.00,783212.36,11171372.79,1376244.84,China,2020
Fuels,9894712.51,106313.18,7.94,0.02,0.56,-11.33,55.93,0.21,0.01,28,0.00,89.29,0.00,10.71,19.69,0.00,0.00,27107.12,79206.06,0.21,0.01,28,0.00,89.29,0.00,10.71,19.69,0.00,0.00,27107.12,79206.06,China,2020
Hides and Skins,537823.74,3035203.60,0.43,0.66,1.04,-3.40,-8.74,4.49,10.31,197,86.29,13.20,0.00,0.51,20.00,0.00,0.00,3025849.44,9354.15,4.49,10.31,197,86.29,13.20,0.00,0.51,20.00,0.00,0.00,3025849.44,9354.15,China,2020
Mach and Elec,26701093.33,214486745.37,21.42,46.92,0.74,3.59,0.05,1.32,0.57,1313,38.77,61.16,0.00,0.08,12.50,0.00,0.00,47254779.28,160324239.73,1.32,0.57,1313,38.77,61.16,0.00,0.08,12.50,0.00,0.00,47254779.28,160324239.73,China,2020
Metals,2937304.42,24577671.35,2.36,5.38,0.48,10.92,-7.05,1.71,2.54,925,41.41,53.62,2.81,2.16,15.00,0.00,1106695.14,18238746.33,6338925.01,1.71,2.54,925,41.41,53.62,2.81,2.16,15.00,0.00,1106695.14,18238746.33,6338925.01,China,2020
Minerals,897221.87,244624.36,0.72,0.05,0.10,5.89,51.83,0.20,0.09,87,6.90,88.51,3.45,1.15,3.00,0.00,502.89,30260.84,200724.98,0.20,0.09,87,6.90,88.51,3.45,1.15,3.00,0.00,502.89,30260.84,200724.98,China,2020
Miscellaneous,15303754.43,80558057.35,12.28,17.62,1.75,-0.53,-1.56,2.70,1.45,824,34.10,47.45,13.47,4.98,162.84,0.00,343173.79,21895585.68,48480831.79,2.70,1.45,824,34.10,47.45,13.47,4.98,162.84,0.00,343173.79,21895585.68,48480831.79,China,2020
Plastic or Rubber,5953976.31,24975546.79,4.78,5.46,1.26,0.15,1.33,3.60,4.09,361,77.84,22.16,0.00,0.00,14.00,0.00,0.00,23944697.61,115828.72,3.60,4.09,361,77.84,22.16,0.00,0.00,14.00,0.00,0.00,23944697.61,115828.72,China,2020
Stone and Glass,3666852.67,6982618.38,2.94,1.53,0.72,-22.44,-2.42,3.22,5.74,384,62.76,35.42,0.00,1.82,38.00,0.00,0.00,6404156.56,585456.78,3.22,5.74,384,62.76,35.42,0.00,1.82,38.00,0.00,0.00,6404156.56,585456.78,China,2020
Textiles and Clothing,2461338.56,44917277.51,1.97,9.83,1.16,-4.54,27.74,8.93,8.06,1609,80.80,12.87,1.37,4.97,32.00,0.00,31602.77,43971443.06,813063.20,8.93,8.06,1609,80.80,12.87,1.37,4.97,32.00,0.00,31602.77,43971443.06,813063.20,China,2020
Transportation,12620578.60,14505808.55,10.12,3.17,2.39,-5.71,-12.55,2.18,1.79,220,49.55,50.45,0.00,0.00,25.00,0.00,0.00,12092875.57,1504276.01,2.18,1.79,220,49.55,50.45,0.00,0.00,25.00,0.00,0.00,12092875.57,1504276.01,China,2020
Vegetable,19030507.13,1420404.29,15.27,0.31,2.68,7.95,31.02,2.77,2.23,468,30.77,26.71,1.50,41.03,29.80,0.00,187.44,1250719.33,178194.71,2.77,2.23,468,30.77,26.71,1.50,41.03,29.80,0.00,187.44,1250719.33,178194.71,China,2020
Wood,4659193.89,7785282.39,3.74,1.70,1.59,-2.38,-2.88,0.67,0.80,453,18.54,80.57,0.00,0.88,18.00,0.00,0.00,1654589.61,4660263.60,0.67,0.80,453,18.54,80.57,0.00,0.88,18.00,0.00,0.00,1654589.61,4660263.60,China,2020
All Products,151065177.39,541531352.24,100.00,100.00,1.00,13.78,14.82,3.61,2.53,9343,53.42,38.23,1.41,6.94,350.00,0.00,3244847.80,239305498.83,275075938.63,3.61,2.53,9343,53.42,38.23,1.41,6.94,350.00,0.00,3244847.80,239305498.83,275075938.63,China,2021
Capital goods,46558101.89,249163224.47,30.82,46.01,0.84,9.62,4.82,1.27,0.40,1508,36.27,62.86,0.60,0.27,25.00,0.00,42750.60,47149556.91,186862933.81,1.27,0.40,1508,36.27,62.86,0.60,0.27,25.00,0.00,42750.60,47149556.91,186862933.81,China,2021
Consumer goods,27119897.32,240040308.20,17.95,44.33,1.76,12.38,22.91,4.93,4.74,3397,60.85,26.88,2.33,9.95,145.53,0.00,1734384.00,162692023.47,64329002.59,4.93,4.74,3397,60.85,26.88,2.33,9.95,145.53,0.00,1734384.00,162692023.47,64329002.59,China,2021
